Month,ai coding: (Worldwide)
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,3
2023-01,4
2023-02,5
2023-03,5
2023-04,6
2023-05,7
2023-06,7
2023-07,7
2023-08,7
2023-09,7
2023-10,7
2023-11,8
2023-12,8
2024-01,9
2024-02,10
2024-03,14
2024-04,12
2024-05,11
2024-06,11
2024-07,10
2024-08,11
2024-09,14
2024-10,16
2024-11,18
2024-12,19
2025-01,21
2025-02,27
2025-03,31
2025-04,32
2025-05,36
2025-06,53
2025-07,58
2025-08,100
2025-09,89
2025-10,82
2025-11,92
2025-12,82
2026-01,41
