Month,ai: (Worldwide)
2019-01,5
2019-02,5
2019-03,5
2019-04,5
2019-05,5
2019-06,5
2019-07,5
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,5
2020-01,5
2020-02,5
2020-03,5
2020-04,6
2020-05,6
2020-06,5
2020-07,5
2020-08,5
2020-09,5
2020-10,5
2020-11,5
2020-12,5
2021-01,5
2021-02,5
2021-03,6
2021-04,6
2021-05,6
2021-06,6
2021-07,5
2021-08,6
2021-09,6
2021-10,6
2021-11,6
2021-12,6
2022-01,7
2022-02,7
2022-03,7
2022-04,7
2022-05,7
2022-06,7
2022-07,7
2022-08,7
2022-09,8
2022-10,8
2022-11,8
2022-12,12
2023-01,12
2023-02,15
2023-03,16
2023-04,21
2023-05,28
2023-06,27
2023-07,26
2023-08,26
2023-09,25
2023-10,29
2023-11,30
2023-12,30
2024-01,32
2024-02,33
2024-03,36
2024-04,34
2024-05,36
2024-06,34
2024-07,34
2024-08,39
2024-09,39
2024-10,42
2024-11,43
2024-12,43
2025-01,47
2025-02,51
2025-03,54
2025-04,55
2025-05,52
2025-06,57
2025-07,62
2025-08,73
2025-09,100
2025-10,92
2025-11,90
2025-12,80
2026-01,66
