Date,Total Issues
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,1
2009-11,199
2009-12,88
2010-01,57
2010-02,36
2010-03,42
2010-04,34
2010-05,45
2010-06,41
2010-07,54
2010-08,46
2010-09,41
2010-10,51
2010-11,35
2010-12,35
2011-01,50
2011-02,71
2011-03,42
2011-04,59
2011-05,73
2011-06,70
2011-07,50
2011-08,49
2011-09,46
2011-10,48
2011-11,52
2011-12,60
2012-01,81
2012-02,148
2012-03,112
2012-04,54
2012-05,46
2012-06,38
2012-07,47
2012-08,40
2012-09,63
2012-10,56
2012-11,72
2012-12,62
2013-01,47
2013-02,70
2013-03,70
2013-04,76
2013-05,75
2013-06,93
2013-07,75
2013-08,97
2013-09,90
2013-10,78
2013-11,85
2013-12,98
2014-01,112
2014-02,105
2014-03,152
2014-04,135
2014-05,123
2014-06,141
2014-07,138
2014-08,157
2014-09,211
2014-10,269
2014-11,272
2014-12,348
2015-01,391
2015-02,452
2015-03,495
2015-04,666
2015-05,739
2015-06,875
2015-07,1024
2015-08,838
2015-09,710
2015-10,839
2015-11,1287
2015-12,1222
2016-01,1326
2016-02,1576
2016-03,1490
2016-04,1404
2016-05,1456
2016-06,1502
2016-07,1647
2016-08,1765
2016-09,1796
2016-10,1542
2016-11,1473
2016-12,1465
2017-01,1551
2017-02,1725
2017-03,2055
2017-04,1847
2017-05,2063
2017-06,2057
2017-07,1805
2017-08,1973
2017-09,2051
2017-10,2115
2017-11,2510
2017-12,2353
2018-01,3100
2018-02,3097
2018-03,3790
2018-04,3662
2018-05,3875
2018-06,4247
2018-07,4377
2018-08,4741
2018-09,4459
2018-10,5292
2018-11,5458
2018-12,6048
2019-01,8605
2019-02,8408
2019-03,9698
2019-04,8991
2019-05,9687
2019-06,9013
2019-07,9963
2019-08,10381
2019-09,9459
2019-10,10923
2019-11,10365
2019-12,9743
2020-01,10240
2020-02,9782
2020-03,11336
2020-04,12978
2020-05,12955
2020-06,11921
2020-07,11547
2020-08,11006
2020-09,10252
2020-10,10560
2020-11,9827
2020-12,9509
2021-01,9788
2021-02,10228
2021-03,11503
2021-04,10537
2021-05,10048
2021-06,10273
2021-07,9494
2021-08,9496
2021-09,9584
2021-10,9652
2021-11,9500
2021-12,8836
2022-01,9202
2022-02,9612
2022-03,10661
2022-04,9016
2022-05,9552
2022-06,9207
2022-07,9633
2022-08,10136
2022-09,11260
2022-10,11668
2022-11,10974
2022-12,9605
2023-01,11124
2023-02,10993
2023-03,12906
2023-04,12436
2023-05,12798
2023-06,11041
2023-07,11009
2023-08,11467
2023-09,10751
2023-10,11316
2023-11,11278
2023-12,9598
2024-01,10656
2024-02,10658
2024-03,10949
2024-04,10735
2024-05,10996
2024-06,10195
2024-07,11183
2024-08,11632
2024-09,11180
2024-10,11319
2024-11,10850
2024-12,10091
2025-01,11259
2025-02,12612
2025-03,13429
2025-04,11680
2025-05,11367
2025-06,10888
2025-07,14019
2025-08,13127
2025-09,12489
2025-10,13904
2025-11,13730
2025-12,12652
